sentence_id,word,cyrillic,cyrillic_saidova,gloss,my_gloss,id,error
20,ʕalik'ya-di,гIаликI'а-ди,гIаликI'а-ди,Alikja-ERG,гIаликI'а<NOUN>><erg>,,abs
20,hant'uk'yarik̄-u-da,гьантIукI'арикк-у-да,гьантIукI'арикк-у-да,listen.PST-CONV-COP,,,
20,hinu-Xu,гьину-ху,гьину-ху,inside-ALL,,,
20,tãwXa-qi,таᵸвха-хъи,тавуᵸха-хъи,fireplace-AD,тавуᵸха<NOUN>><ad>,72578,orph
21,ʕalik'ya-ra,гIаликI'а-ра,гIаликI'а-ра,Alikja-AFF,гIаликI'а<NOUN>><aff>,,abs
21,anł-at-a,анлъ-ат-а,анлъ-ат-а,hear-PRS-CONV,,,
21,bu=k'-a-da,бу=кI-а-да,бу=кI-а-да,N=be.PST-CONV-COP,,,
21,musa-la,муса-ла,муса-ла,Musa-AND,муса<NOUN>><and>,,
21,gurži-di-la,гуржи-ди-ла,гуржи-ди-ла,Georgian-PL-AND,гуржи<NOUN>><pl>><and>,68406,morph
21,req.a,рехъва,рехъва,fight.PST,,,
22,ho-š̄u-ra,гьо-щу-ра,гьо-щу-ра,he-OBL.M-AFF,гьо<PRON>><obl><m>><aff>,,
22,anł-a-da,анлъ-а-да,анлъ-а-да,hear.PST-CONV-COP,,,
22,musa-Li,муса-лIи,муса-лIи,Musa-GEN,муса<NOUN>><gen>,,abs
22,zigyari,зиг'ари,зиг'ари,groan,зиг'ари<NOUN>,69690,
23,ʕalik'ya,гIаликI'а,гIаликI'а,Alikja,гIаликI'а<NOUN>,,abs
23,b=uš̄-u,б=ущ-у,б=ущ-у,N=pull.out.PST-CONV,,,
23,X̄anžar-lałi,хханжар-лалъи,хханжар-лалъи,dagger-COMIT,хханжар<NOUN>><comit>,73094,
23,tãwxa-qi,таᵸвха-хъи,тавуᵸха-хъи,fireplace-AD,тавуᵸха<NOUN>><ad>,72578,orph
23,hinu,гьину,гьину,inside,,,
23,k'yanc'-u-da,кI'анцI-у-да,кI'анцI-у-да,jump.PST-CONV-COP,,,
23,musa-łi,муса-лъи,муса-лъи,Musa-DAT,муса<NOUN>><dat>,,abs
23,kumak-i-łi,кумаки-лъи,кумаки-лъи,aid-OBL-DAT,кумаки<NOUN>><dat>,70298,
24,hinu,гьину,гьину,inside,,,
24,k'yanc'i-wq'aLi,кI'анцIи-вкъалIи,кI'анцIи-вкъалIи,jump.PST-WHEN,,,
24,ʕalik'ya-ra,гIаликI'а-ра,гIаликI'а-ра,Alikja-AFF,гIаликI'а<NOUN>><aff>,,abs
24,garam,гарам,гарам,no.one,,,
24,dãj,даᵸй,даᵸй,thing,даᵸйи<NOUN>,69423,apoc
24,haʔ-at-a,гьа-ат-а,гьа-ат-а,see-PRS-CONV,,,
